,0,1,2,3
239,DistalPhalanxOutlineCorrect-MOMENT,ECE,global,0.09835058398777027
240,DistalPhalanxOutlineCorrect-MOMENT,smECE,global,0.06015792134265463
241,DistalPhalanxOutlineCorrect-MOMENT,ACE,global,0.13918942314012023
242,DistalPhalanxOutlineCorrect-MOMENT,CE,kmeans,0.5321970406719465
243,DistalPhalanxOutlineCorrect-MOMENT,Brier,kmeans,0.1777518662056678
244,DistalPhalanxOutlineCorrect-MOMENT,ECE,kmeans,0.08197061498109737
245,DistalPhalanxOutlineCorrect-MOMENT,smECE,kmeans,0.05968309242851392
246,DistalPhalanxOutlineCorrect-MOMENT,ACE,kmeans,0.14324596503218626
247,DistalPhalanxOutlineCorrect-MOMENT,CE,sem aware groupings,0.5198675394058228
248,DistalPhalanxOutlineCorrect-MOMENT,Brier,sem aware groupings,0.1728933245990803
249,DistalPhalanxOutlineCorrect-MOMENT,ECE,sem aware groupings,0.02287530720233919
250,DistalPhalanxOutlineCorrect-MOMENT,smECE,sem aware groupings,0.027692800433262985
251,DistalPhalanxOutlineCorrect-MOMENT,ACE,sem aware groupings,0.09239925712967911
252,DistalPhalanxTW-MOMENT,Accuracy,no cal,0.9275
253,DistalPhalanxTW-MOMENT,CE,no cal,0.23503422868281013
254,DistalPhalanxTW-MOMENT,Brier,no cal,0.06379825156226962
255,DistalPhalanxTW-MOMENT,ECE,no cal,0.03287549673398559
256,DistalPhalanxTW-MOMENT,smECE,no cal,0.03177343565297225
257,DistalPhalanxTW-MOMENT,ACE,no cal,0.06467053137718501
258,DistalPhalanxTW-MOMENT,CE,global,0.23479478068941717
259,DistalPhalanxTW-MOMENT,Brier,global,0.06387900642879356
260,DistalPhalanxTW-MOMENT,ECE,global,0.0250754217288078
261,DistalPhalanxTW-MOMENT,smECE,global,0.031251083952226755
262,DistalPhalanxTW-MOMENT,ACE,global,0.06441621839189546
263,DistalPhalanxTW-MOMENT,CE,kmeans,0.23995466772504656
264,DistalPhalanxTW-MOMENT,Brier,kmeans,0.06424575732965034
265,DistalPhalanxTW-MOMENT,ECE,kmeans,0.056748679135017584
266,DistalPhalanxTW-MOMENT,smECE,kmeans,0.03093863547693651
267,DistalPhalanxTW-MOMENT,ACE,kmeans,0.06883321921759793
268,DistalPhalanxTW-MOMENT,CE,sem aware groupings,0.23846450448036194
269,DistalPhalanxTW-MOMENT,Brier,sem aware groupings,0.0639973169973283
270,DistalPhalanxTW-MOMENT,ECE,sem aware groupings,0.05183877781033511
271,DistalPhalanxTW-MOMENT,smECE,sem aware groupings,0.03091054734871362
272,DistalPhalanxTW-MOMENT,ACE,sem aware groupings,0.05516245244070887
273,Earthquakes-MOMENT,Accuracy,no cal,0.8198757763975155
274,Earthquakes-MOMENT,CE,no cal,0.4364469177744193
275,Earthquakes-MOMENT,Brier,no cal,0.1385522761249514
276,Earthquakes-MOMENT,ECE,no cal,0.03332878985698411
277,Earthquakes-MOMENT,smECE,no cal,0.039757263147902094
278,Earthquakes-MOMENT,ACE,no cal,0.07320452655362031
279,Earthquakes-MOMENT,CE,global,0.4369196238600937
280,Earthquakes-MOMENT,Brier,global,0.13906996520436693
281,Earthquakes-MOMENT,ECE,global,0.05075145319197376
282,Earthquakes-MOMENT,smECE,global,0.04240424110929983
283,Earthquakes-MOMENT,ACE,global,0.0711781069157369
284,Earthquakes-MOMENT,CE,kmeans,0.4448109882688669
285,Earthquakes-MOMENT,Brier,kmeans,0.14105915075464256
286,Earthquakes-MOMENT,ECE,kmeans,0.04768875883647843
287,Earthquakes-MOMENT,smECE,kmeans,0.04562815821298112
288,Earthquakes-MOMENT,ACE,kmeans,0.08092629633760046
289,Earthquakes-MOMENT,CE,sem aware groupings,0.4325576722621918
290,Earthquakes-MOMENT,Brier,sem aware groupings,0.1382147996021314
291,Earthquakes-MOMENT,ECE,sem aware groupings,0.039663461239441616
292,Earthquakes-MOMENT,smECE,sem aware groupings,0.028804927964045605
293,Earthquakes-MOMENT,ACE,sem aware groupings,0.057233178641022356
294,ECG5000-MOMENT,Accuracy,no cal,0.986
295,ECG5000-MOMENT,CE,no cal,0.10409528427556056
296,ECG5000-MOMENT,Brier,no cal,0.020932863493926656
297,ECG5000-MOMENT,ECE,no cal,0.06736119152280855
298,ECG5000-MOMENT,smECE,no cal,0.06763792045228359
299,ECG5000-MOMENT,ACE,no cal,0.06616013843489586
300,ECG5000-MOMENT,CE,global,0.06302972638415387
301,ECG5000-MOMENT,Brier,global,0.014943403210254228
